Provincia;Partido;Localidad;Link Indec;Otros;0,256 Mbps;0,375 Mbps;0,5 Mbps;0,512 Mbps;0,625 Mbps;0,75 Mbps;1 Mbps;1,25 Mbps;1,5 Mbps;2 Mbps;2,2 Mbps;2,5 Mbps;3 Mbps;3,3 Mbps;3,5 Mbps;4 Mbps;4,5 Mbps;5 Mbps;6 Mbps;6,4 Mbps;7 Mbps;7,5 Mbps;8 Mbps;9 Mbps;10 Mbps;10,2 Mbps;11 Mbps;12 Mbps;12,3 Mbps;13 Mbps;14 Mbps;15 Mbps;16 Mbps;17 Mbps;18 Mbps;20 Mbps;20,5 Mbps;21 Mbps;22 Mbps;23 Mbps;24 Mbps;25 Mbps;25,1 Mbps;25,5 Mbps;26 Mbps;27 Mbps;30 Mbps;31 Mbps;32 Mbps;34 Mbps;35 Mbps;36 Mbps;38 Mbps;39 Mbps;40 Mbps;41 Mbps;45 Mbps;46 Mbps;48 Mbps;49 Mbps;50 Mbps;50,1 Mbps;50,25 Mbps;51 Mbps;55 Mbps;58 Mbps;59 Mbps;60 Mbps;61 Mbps;62 Mbps;64 Mbps;65 Mbps;66 Mbps;70 Mbps;75 Mbps;78 Mbps;80 Mbps;83 Mbps;85 Mbps;90 Mbps;92 Mbps;95 Mbps;100 Mbps;100,25 Mbps;110 Mbps;120 Mbps;122 Mbps;125 Mbps;126 Mbps;130 Mbps;140 Mbps;150 Mbps;157 Mbps;158 Mbps;160 Mbps;164 Mbps;165 Mbps;180 Mbps;200 Mbps;212 Mbps;220 Mbps;225 Mbps;234 Mbps;240 Mbps;250 Mbps;256 Mbps;275 Mbps;300 Mbps;320 Mbps;325 Mbps;330 Mbps;340 Mbps;400 Mbps;450 Mbps;480 Mbps;500 Mbps;512 Mbps;520 Mbps;540 Mbps;600 Mbps;680 Mbps;700 Mbps;800 Mbps;850 Mbps;900 Mbps;950 Mbps;1000 Mbps;1024 Mbps;Total general
BUENOS AIRES;25 de Mayo;25 de Mayo;6854100;;;;2 ;;;19 ;;;;;;;85 ;;145 ;;;;194 ;;;;299 ;;177 ;;;3.965 ;;;;415 ;;;;595 ;;;;;;166 ;;;;;96 ;;;;;;;;38 ;;;;;;;;;;;;;;;;;;;;;;12 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.208 
BUENOS AIRES;25 de Mayo;Agustín Moscon;6854010;;;;;;;;;;;;;;;;;;;;46 ;;;;;;13 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59 
BUENOS AIRES;25 de Mayo;Del Valle;6854020;;;;1 ;;;;;;;;;;181 ;;;;;;;;;;;;10 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;192 
BUENOS AIRES;25 de Mayo;Ernestina;6854030;;;;;;;;;;;;;;66 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;66 
BUENOS AIRES;25 de Mayo;Gobernador Ugarte;6854040;;;;;;;;;;;106 ;;;3 ;;;56 ;;7 ;3 ;;;;4 ;;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;181 
BUENOS AIRES;25 de Mayo;Lucas Monteverde;6854050;;;;;;;;;;;;;;6 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6 
BUENOS AIRES;25 de Mayo;Norberto de la Riestra;6854060;;;;;;;;;;;161 ;;;38 ;;;15 ;;15 ;876 ;;;;;;1 ;;;;;;;141 ;;;;;;;;;;34 ;;;;;;;;;;;;;;;;;;;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.282 
BUENOS AIRES;25 de Mayo;Pedernales;6854070;;;;;;;;;;;;;;395 ;;;173 ;;;2 ;;;;;;2 ;;;;;;;3 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;575 
BUENOS AIRES;25 de Mayo;San Enrique;6854080;;;;;;;;;;;;;;;;;;;;78 ;;;;;;19 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97 
BUENOS AIRES;25 de Mayo;Valdé;6854090;;;;;;;;;;;;;;;;;;;;35 ;;;;;;131 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;166 
BUENOS AIRES;9 de Julio;12 de Octubre;6588030;;;;;;;;;;;;;;11 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11 
BUENOS AIRES;9 de Julio;9 de Julio;6588100;10.206 ;;;;;;9 ;;;;;;;198 ;;114 ;;;154 ;;;235 ;;98 ;;37 ;;;;;;;121 ;;;;15 ;;;;;;;;;;;4 ;;;;;;;;;;;;;;617 ;;;;;;;;;;;;;;;;;;;;;;1.323 ;;;;;;;;;;;;;;;;;;;;;;;;;1.357 ;;;;;;;;38 ;;;;;;;;;;;2 ;;14.528 
BUENOS AIRES;9 de Julio;Alfredo Demarchi  (Est. Facundo Quiroga);6588010;;;;;;;;;;;;;;510 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;510 
BUENOS AIRES;9 de Julio;Dudignac;6588040;;;;;;;;8 ;;;;;;25 ;;;247 ;;;46 ;;;;;;52 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;378 
BUENOS AIRES;9 de Julio;Manuel B. Gonnet  (Est. French);6588060;;;;;;;;1 ;;;199 ;;;;;;;;;1 ;;;;;;2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;203 
BUENOS AIRES;9 de Julio;Patricios;6588110;81 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;81 
BUENOS AIRES;9 de Julio;Villa General Fournier  (Est. 9 de Julio Sud);6588120;118 ;;;;;;;;;;;;;42 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;160 
BUENOS AIRES;Adolfo Alsina;Carhu�;6007010;;;;;;;;;;;;;;793 ;;20 ;;;;;;103 ;;36 ;;;;;;;;;1.231 ;;;;;;;;;;;;;;;1 ;266 ;;;;;;;;;;;;;;;;;;;;;31 ;;;;;;;;;;;;;;2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.483 
BUENOS AIRES;Adolfo Alsina;Colonia San Miguel Arcánge;6007020;;;;;;;;;;;;;;208 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;208 
BUENOS AIRES;Adolfo Alsina;Esteban Agustín Gasc�;6007050;;;;;;;;;;;;;;60 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60 
BUENOS AIRES;Adolfo Alsina;Maza;6007070;10 ;;;2 ;;;;;;;;;;;;;;;386 ;;;;;;;6 ;;;;;;;;;;;2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;406 
BUENOS AIRES;Adolfo Alsina;Rivera;6007080;;;;;;;;;;;;;;;;;;;;;;;;;;1.155 ;;;;;;;;;;;23 ;;;;;;;;;;;24 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.202 
BUENOS AIRES;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves);6014010;;;;;;;3 ;;;;;;;;;147 ;;;;;;;;447 ;;122 ;;;1 ;;;;1.045 ;;;;;;;;;;;;;;;44 ;;;;;;;;;;;;;;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.810 
BUENOS AIRES;Adolfo Gonzales Chaves;De la Garma;6014020;;;;;;;;;;;;;;;;;632 ;;;;;7 ;;28 ;;45 ;;;;;;;5 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;717 
BUENOS AIRES;Adolfo Gonzales Chaves;Juan E. Barra;6014030;;;;;;;;;;;;;;;;;46 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46 
BUENOS AIRES;Adolfo Gonzales Chaves;Vásque;6014040;;;;;;;;;;;;;;12 ;;;2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14 
BUENOS AIRES;Alberti;Alberti   (Est. Andrés Vaccarezza;6021010;;;;;;;2 ;;;;4 ;;;;;40 ;;;7 ;;;;;116 ;;;;;;;;;302 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;472 
BUENOS AIRES;Alberti;Mechita;6021030;;;;;;;;;;;;;;275 ;;;;;10 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;285 
BUENOS AIRES;Almirante Brown;Adrogu�;6028010;;1 ;;10 ;1 ;;34 ;24 ;;;8 ;;;2 ;;63 ;7 ;;5 ;12 ;;;;37 ;;385 ;;;;;;;135 ;;;;6 ;;;;;;25 ;;;;;11.557 ;;;;;;;;;;;;;;639 ;;;;;;;928 ;;;;;;;225 ;;;;;;;;3.150 ;;;;;;;;;577 ;;;;;;;1 ;;;;;;;;;2.755 ;;;;;;;;506 ;;;;;;;;;;;104 ;;21.197 
BUENOS AIRES;Almirante Brown;Burzaco;6028010;51 ;1 ;;9 ;1 ;;23 ;17 ;;;77 ;;;15 ;;34 ;115 ;;13 ;84 ;;;;30 ;;1.054 ;;;;;;;60 ;;;;3 ;;;;;;51 ;;;;;11.392 ;;;;;;;;;;;;;;390 ;;;;;;;4.171 ;;;;;;;829 ;;;;;;;;4.324 ;;;;;;;;;2.243 ;;;;;;;;;;;;;;;;2.537 ;;;;;;;;506 ;;;;;;;;;;;491 ;;28.521 
BUENOS AIRES;Almirante Brown;Claypole;6028010;;;;;;;2 ;7 ;;;;;;2 ;;3 ;;;1 ;40 ;;;;;;429 ;;;;;;;;;;;15 ;;;;;;22 ;;;;;4.113 ;;;;;;;;;;;;;;107 ;;;;;;;2.325 ;;;;;;;415 ;;;;;;;;1.863 ;;;;;;;;;1.215 ;;;;;;;;;;;;;;;;912 ;;;;;;;;179 ;;;;;;;;;;;190 ;;11.840 
BUENOS AIRES;Almirante Brown;Don Orione;6028010;;;;;;;;;;;;;;;;;;;1 ;;;;;;;377 ;;;;;;;;;;;;;;;;;27 ;;;;;3 ;;;;;;;;;;;;;;17 ;;;;;;;2.090 ;;;;;;;387 ;;;;;;;;1.002 ;;;;;;;;;1.043 ;;;;;;;;;;;;;;;;211 ;;;;;;;;77 ;;;;;;;;;;;173 ;;5.408 
BUENOS AIRES;Almirante Brown;Glew;6028010;1 ;;;5 ;;;7 ;5 ;;;15 ;;;5 ;;27 ;29 ;;3 ;12 ;;;;16 ;;315 ;;;;;;;8 ;;;;;;;;;;43 ;;;;;11.737 ;;;;;;;;;;;;;;172 ;;;;;;;2.894 ;;;;;;;710 ;;;;;;;;1.309 ;;;;;;;;;1.374 ;;;;;;;;;;;;;;;;996 ;;;;;;;;187 ;;;;;;;;;;;249 ;;20.119 
BUENOS AIRES;Almirante Brown;Jose Mármo;6028010;;;;;;;;1 ;;;;;;;;2 ;;;1 ;16 ;;;;3 ;;422 ;;;;;;;;;;;18 ;;;;;;26 ;;;;;1.383 ;;;;;;;;;;;;;;161 ;;;;;;;1.559 ;;;;;;;334 ;;;;;;;;2.036 ;;;;;;;;;1.001 ;;;;;;;;;;;;;;;;1.441 ;;;;;;;;299 ;;;;;;;;;;;147 ;;8.850 
BUENOS AIRES;Almirante Brown;Longchamps;6028010;1 ;;;1 ;;;3 ;;;;;;;3 ;;21 ;;;5 ;1 ;;;;4 ;;599 ;;;;;;;4 ;;;;1 ;;;;;;26 ;;;;;7.433 ;;;;;;;;;;;;;;211 ;;;;;;;2.512 ;;;;;;;612 ;;;;;;;;2.470 ;;;;;;;;;1.362 ;;;;;;;;;;;;;;;;1.402 ;;;;;;;;284 ;;;;;;;;;;;192 ;;17.147 
BUENOS AIRES;Almirante Brown;Malvinas Argentinas;6028010;1 ;;;;;;;3 ;;;;;;;;;;;2 ;32 ;;;;;;136 ;;;;;;;;;;;3 ;;;;;;12 ;;;;;6 ;;;;;;;;;;;;;;88 ;;;;;;;1.652 ;;;;;;;296 ;;;;;;;;1.455 ;;;;;;;;;858 ;;;;;;;;;;;;;;;;617 ;;;;;;;;154 ;;;;;;;;;;;155 ;;5.470 
BUENOS AIRES;Almirante Brown;Ministro Rivadavia;6028010;;;;;;;;;;;;;;;;2 ;;;3 ;;;;;;;278 ;;;;;;;;;;;;;;;;;11 ;;;;;4.094 ;;;;;;;;;;;;;;21 ;;;;;;;1.334 ;;;;;;;249 ;;;;;;;;647 ;;;;;;;;;561 ;;;;;;;;;;;;;;;;239 ;;;;;;;;52 ;;;;;;;;;;;79 ;;7.570 
